total cycles (32767 Hz), repeat for 10 times: 748456 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 817044 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 884955 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 958981 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1032355 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1111747 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1190923 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1276354 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1360994 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1452642 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 4291 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 8577 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 16268 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 32532 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 63303 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 94950 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 141095 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 188125 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 249653 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 312059 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 388982 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 466742 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 559417 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 652683 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 761597 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 870472 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 995418 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1120037 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1260914 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1400988 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1557826 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1713087 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 1885967 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2057582 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2246007 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2432997 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2637700 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2840818 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3061652 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3280928 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3515664 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3751483 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 4003171 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 8396 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 16787 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 31861 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 63723 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 124021 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 186037 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 276492 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 368637 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 489239 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 611536 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 762274 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 914740 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1095603 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1278257 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1489237 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1701994 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 1943267 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2186169 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2457541 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 2730653 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 3032155 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 3335383 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 3667898 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4001087 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4366054 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4728953 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 5126126 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 5519035 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 5948080 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 6370569 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 6831957 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 7284482 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 7778252 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 13868 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 27736 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 52656 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 105310 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 204991 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 307490 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 457009 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 609334 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 808716 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1010869 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1260105 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1512119 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1811143 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2113013 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2461858 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2813628 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 3212374 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 3613894 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 4062514 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 4513894 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 5012225 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 5513599 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 6061929 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 6612793 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 7211192 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 7812171 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 8460046 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 9246697 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 9954452 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 10665083 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 11423931 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 12185501 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 12995124 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 21007 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 42008 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 79785 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 159573 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 310697 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 466030 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 692747 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 923661 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1225863 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1532368 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1910172 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2292215 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2745469 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3203050 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3731862 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 4265067 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 4869547 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 5478260 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 6158125 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 6842406 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 7598145 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 8358123 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 9189163 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 10024360 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 10931215 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 11841152 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 12822277 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 13808003 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 14864870 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 15925993 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 17058025 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 18194033 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 19402317 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 29312 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 58620 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 111361 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 222719 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 433686 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 28)
