total cycles (32767 Hz), repeat for 10 times: 91 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 117 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 136 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 186 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 243 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 307 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 376 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 450 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 527 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 613 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 701 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 799 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 897 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1005 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1117 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1235 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1355 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1486 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1620 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1758 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 1904 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2055 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2208 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2370 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2538 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2711 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 2889 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3074 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3260 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3457 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3655 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 3863 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 4073 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 4)
total cycles (32767 Hz), repeat for 10 times: 542 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 753 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 950 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1421 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1919 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 2493 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 3088 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 3759 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 4449 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 5226 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 6020 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 8)
