total cycles (32767 Hz), repeat for 10 times: 97 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 161 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 282 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 526 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 1008 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 1981 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 3911 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 7787 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 15502 (kernel size: 5, in_channels: 16, out_channels: 16, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 30971 (kernel size: 5, in_channels: 16, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 61831 (kernel size: 5, in_channels: 32, out_channels: 32, input size: 5)
total cycles (32767 Hz), repeat for 10 times: 144 (kernel size: 5, in_channels: 1, out_channels: 1, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 261 (kernel size: 5, in_channels: 1, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 480 (kernel size: 5, in_channels: 2, out_channels: 2, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 926 (kernel size: 5, in_channels: 2, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1806 (kernel size: 5, in_channels: 4, out_channels: 4, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 3576 (kernel size: 5, in_channels: 4, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 7088 (kernel size: 5, in_channels: 8, out_channels: 8, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 14138 (kernel size: 5, in_channels: 8, out_channels: 16, input size: 8)
