============================ benchmark mac ============================
total cycles (32767 Hz), repeat for 10 times: 23814 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 25544 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 27128 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 28963 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 30639 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 32568 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 34352 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 36384 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 38263 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 40392 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 8)
total cycles (32767 Hz), repeat for 10 times: 1599 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 2205 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3087 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 4441 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 6485 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 8119 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 10439 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 12347 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 14947 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 17128 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 12)
